ConcurrentHashMap,1,100,0.8,write,28422
ConcurrentHashMap,1,100,0.8,write,8290
ConcurrentHashMap,1,100,0.8,write,4343
ConcurrentHashMap,1,100,0.8,write,2763
ConcurrentHashMap,1,100,0.8,write,2368
ConcurrentHashMap,1,100,0.8,write,7105
ConcurrentHashMap,1,100,0.8,write,7501
ConcurrentHashMap,1,100,0.8,write,7500
ConcurrentHashMap,1,100,0.8,write,4343
ConcurrentHashMap,1,100,0.8,write,2763
ConcurrentHashMap,1,100,0.8,write,3158
ConcurrentHashMap,1,100,0.8,write,128691
ConcurrentHashMap,1,100,0.8,write,8290
ConcurrentHashMap,1,100,0.8,write,4343
ConcurrentHashMap,1,100,0.8,write,3947
ConcurrentHashMap,1,100,0.8,write,3158
ConcurrentHashMap,1,100,0.8,write,6711
ConcurrentHashMap,1,100,0.8,write,2369
ConcurrentHashMap,1,100,0.8,write,7106
ConcurrentHashMap,1,100,0.8,write,2763
ConcurrentHashMap,1,100,0.8,write,3553
ConcurrentHashMap,1,100,0.8,write,3158
ConcurrentHashMap,1,100,0.8,write,2763
ConcurrentHashMap,1,100,0.8,write,58818
ConcurrentHashMap,1,100,0.8,write,11054
ConcurrentHashMap,1,100,0.8,write,10264
ConcurrentHashMap,1,100,0.8,write,11842
ConcurrentHashMap,1,100,0.8,write,14211
ConcurrentHashMap,1,100,0.8,write,10658
ConcurrentHashMap,1,100,0.8,write,15001
ConcurrentHashMap,1,100,0.8,write,10264
ConcurrentHashMap,1,100,0.8,write,10264
ConcurrentHashMap,1,100,0.8,write,12632
ConcurrentHashMap,1,100,0.8,write,9869
ConcurrentHashMap,1,100,0.8,write,9474
ConcurrentHashMap,1,100,0.8,write,10263
ConcurrentHashMap,1,100,0.8,write,9869
ConcurrentHashMap,1,100,0.8,write,31975
ConcurrentHashMap,1,100,0.8,write,10658
ConcurrentHashMap,1,100,0.8,write,9869
ConcurrentHashMap,1,100,0.8,write,28027
ConcurrentHashMap,1,100,0.8,write,10264
ConcurrentHashMap,1,100,0.8,write,10264
ConcurrentHashMap,1,100,0.8,write,10263
ConcurrentHashMap,1,100,0.8,write,9869
ConcurrentHashMap,1,100,0.8,write,10264
ConcurrentHashMap,1,100,0.8,write,24476
ConcurrentHashMap,1,100,0.8,write,139350
ConcurrentHashMap,1,100,0.8,write,5132
ConcurrentHashMap,1,100,0.8,write,9869
ConcurrentHashMap,1,100,0.8,write,3553
ConcurrentHashMap,1,100,0.8,write,2764
ConcurrentHashMap,1,100,0.8,write,2369
ConcurrentHashMap,1,100,0.8,write,2369
ConcurrentHashMap,1,100,0.8,write,1974
ConcurrentHashMap,1,100,0.8,write,39476
ConcurrentHashMap,1,100,0.8,write,5527
ConcurrentHashMap,1,100,0.8,write,3552
ConcurrentHashMap,1,100,0.8,write,2369
ConcurrentHashMap,1,100,0.8,write,5132
ConcurrentHashMap,1,100,0.8,write,2763
ConcurrentHashMap,1,100,0.8,write,2763
ConcurrentHashMap,1,100,0.8,write,5131
ConcurrentHashMap,1,100,0.8,write,6316
ConcurrentHashMap,1,100,0.8,write,2368
ConcurrentHashMap,1,100,0.8,write,2368
ConcurrentHashMap,1,100,0.8,write,2368
ConcurrentHashMap,1,100,0.8,write,2368
ConcurrentHashMap,1,100,0.8,write,2369
ConcurrentHashMap,1,100,0.8,write,2369
ConcurrentHashMap,1,100,0.8,write,2763
ConcurrentHashMap,1,100,0.8,write,2369
ConcurrentHashMap,1,100,0.8,write,2369
ConcurrentHashMap,1,100,0.8,write,2369
ConcurrentHashMap,1,100,0.8,write,2369
ConcurrentHashMap,1,100,0.8,write,2369
ConcurrentHashMap,1,100,0.8,write,2764
ConcurrentHashMap,1,100,0.8,write,8684
ConcurrentHashMap,1,100,0.8,write,2368
ConcurrentHashMap,1,100,0.8,write,10658
ConcurrentHashMap,2,100,0.8,write,25835
ConcurrentHashMap,2,100,0.8,write,7432
ConcurrentHashMap,2,100,0.8,write,3893
ConcurrentHashMap,2,100,0.8,write,3185
ConcurrentHashMap,2,100,0.8,write,3185
ConcurrentHashMap,2,100,0.8,write,3893
ConcurrentHashMap,2,100,0.8,write,3185
ConcurrentHashMap,2,100,0.8,write,2831
ConcurrentHashMap,2,100,0.8,write,3185
ConcurrentHashMap,2,100,0.8,write,2831
ConcurrentHashMap,2,100,0.8,write,3185
ConcurrentHashMap,2,100,0.8,write,75381
ConcurrentHashMap,2,100,0.8,write,5662
ConcurrentHashMap,2,100,0.8,write,3893
ConcurrentHashMap,2,100,0.8,write,3186
ConcurrentHashMap,2,100,0.8,write,3185
ConcurrentHashMap,2,100,0.8,write,3185
ConcurrentHashMap,2,100,0.8,write,2831
ConcurrentHashMap,2,100,0.8,write,4247
ConcurrentHashMap,2,100,0.8,write,2831
ConcurrentHashMap,2,100,0.8,write,2831
ConcurrentHashMap,2,100,0.8,write,2832
ConcurrentHashMap,2,100,0.8,write,3186
ConcurrentHashMap,2,100,0.8,write,38222
ConcurrentHashMap,2,100,0.8,write,3893
ConcurrentHashMap,2,100,0.8,write,3539
ConcurrentHashMap,2,100,0.8,write,3185
ConcurrentHashMap,2,100,0.8,write,4247
ConcurrentHashMap,2,100,0.8,write,3186
ConcurrentHashMap,2,100,0.8,write,3893
ConcurrentHashMap,2,100,0.8,write,3185
ConcurrentHashMap,2,100,0.8,write,3185
ConcurrentHashMap,2,100,0.8,write,3185
ConcurrentHashMap,2,100,0.8,write,2831
ConcurrentHashMap,2,100,0.8,write,3185
ConcurrentHashMap,2,100,0.8,write,2831
ConcurrentHashMap,2,100,0.8,write,2831
